segment_name,md5,program,from_date
frequent openers,cdfe6d1e801d28b83489180675516479,oferting,2017-09-07 00:00:00.000000
preactivated,2a06d4b26bb2790cb4192f17282eecea,oferting,2017-09-07 00:00:00.000000
new,33a2543832b5b67901e53b1cc612390e,oferting,2017-09-07 00:00:00.000000
frequent openers,e7fc37138b6dab7123ba3fd14a118084,oferting,2017-09-07 00:00:00.000000
frequent openers,d6fadd5a0d676c593f3188d36f0ee9f5,oferting,2017-09-07 00:00:00.000000
clickers,73a795af2ec9601d1346c2157c0ee18c,oferting,2017-09-07 00:00:00.000000
halfslept,e09a535abbd6b3b767d9899f2e1a9bf3,oferting,2017-09-07 00:00:00.000000
preactivated,62188d68f48751e107f30cc31fa4c225,oferting,2017-09-07 00:00:00.000000
new,84b41518811e4fc7f1d1404a15b5a8d6,oferting,2017-09-07 00:00:00.000000
new,d53b4aac3326ae2c7f230ef25cf73476,oferting,2017-09-07 00:00:00.000000
preactivated,36abce8670a20b8d68bcec27e880e93d,oferting,2017-09-07 00:00:00.000000
new,bf0e700438adfe1b749258dede6c41ee,oferting,2017-09-07 00:00:00.000000
new,55e49e2cc95d79f6d6a560b0279a0224,oferting,2017-09-07 00:00:00.000000
frequent openers,cd30a83968ab2e2749479f21dbd2d5fd,oferting,2017-09-07 00:00:00.000000
frequent openers,87f3f9331e04c2d2a33ac127924dccbf,oferting,2017-09-07 00:00:00.000000
new,c83f50871bd13dfedbbf146431142afb,oferting,2017-09-07 00:00:00.000000
preactivated,027792dc94495a0aa1abf77a01df9c91,oferting,2017-09-07 00:00:00.000000
stranger,d847ee28569bdeff6e7bf4e5d9bb31ba,oferting,2017-09-07 00:00:00.000000
new,0d427cb18b7bd9edf4ba1ee022e44737,oferting,2017-09-07 00:00:00.000000
frequent openers,035e4a85ca7ec3d37a8db27c83999ac8,oferting,2017-09-07 00:00:00.000000
new,cd47e6369102cfff726860cd4f54f2a3,oferting,2017-09-07 00:00:00.000000
frequent openers,dd8d4d9c7e1bd21337909459405a99d4,oferting,2017-09-07 00:00:00.000000
frequent openers,9ef4265e150199dad0280d7475932d4c,oferting,2017-09-07 00:00:00.000000
new,ef297022c2f6fdf06152a76b15250f7a,oferting,2017-09-07 00:00:00.000000
frequent openers,1c73c6bc3ffda81f873f7b876c4451c9,oferting,2017-09-07 00:00:00.000000
preactivated,f431f4ab648086ee8104d0e02d3fb890,oferting,2017-09-07 00:00:00.000000
preactivated,bcbca84f03c0410f2bf92663a1ea40f6,oferting,2017-09-07 00:00:00.000000
preactivated,91d3428308dd0e15b5298ceef81afd7f,oferting,2017-09-07 00:00:00.000000
stranger,0490b70f2874094cbd5c57f242abbe85,oferting,2017-09-07 00:00:00.000000
frequent openers,743b18a9bdea819f725341df95fb3bb8,oferting,2017-09-07 00:00:00.000000
stranger,b836b84a207a73fa8577190ec2c22b0f,oferting,2017-09-07 00:00:00.000000
halfslept,85ec0edd5898a260d6ae1ce335f41fac,oferting,2017-09-07 00:00:00.000000
frequent openers,31126522a0f07417c8a9327ab24b6825,oferting,2017-09-07 00:00:00.000000
reactivated,54eb512cda012506af4fc542702e509f,oferting,2017-09-07 00:00:00.000000
frequent openers,402b56782bb15a31cd0aceafa9d7d184,oferting,2017-09-07 00:00:00.000000
preactivated,c5204a3220f6fe94f7e013d17495488a,oferting,2017-09-07 00:00:00.000000
frequent openers,d87f826e5e4c3d5c76e072df54ec22e4,oferting,2017-09-07 00:00:00.000000
frequent openers,a25f53410d0ae7964a97a9656f77baee,oferting,2017-09-07 00:00:00.000000
clickers,f28702fb13607d991fd9a39b5699d786,oferting,2017-09-07 00:00:00.000000
clickers,cac31ee7291c9af1d08e9d4d48d810a6,oferting,2017-09-07 00:00:00.000000
clickers,16e3b3c1784890a97af35c86516ec5b9,oferting,2017-09-07 00:00:00.000000
new,e8b27cd66b89b82016e98a0f1f642395,oferting,2017-09-07 00:00:00.000000
frequent openers,ecba5de1acc9a7eead368974db20f273,oferting,2017-09-07 00:00:00.000000
clickers,e782ca119620d706483cd65236957409,oferting,2017-09-07 00:00:00.000000
new,7a4ca72b73fe2f35b46fbe9d3da2f4af,oferting,2017-09-07 00:00:00.000000
frequent openers,577551081abe25d09afa3857d6029a9d,oferting,2017-09-07 00:00:00.000000
frequent openers,7d1ceb1f395ebbab9213ef5fed5632d3,oferting,2017-09-07 00:00:00.000000
frequent openers,6b1304228e369d45246988e3fab7759f,oferting,2017-09-07 00:00:00.000000
halfslept,78dfdc8601bd0f8191bd5f077780b852,oferting,2017-09-07 00:00:00.000000
stranger,165bda4a0685644086a2623807dbb906,oferting,2017-09-07 00:00:00.000000
frequent openers,59292a26b00cb1564107b9e0f3df3b3e,oferting,2017-09-07 00:00:00.000000
preactivated,c5072b0ae6003a5f3dd1de0063c9ba0f,oferting,2017-09-07 00:00:00.000000
frequent openers,cad0d9ae564a0bcbb2b40c339496924c,oferting,2017-09-07 00:00:00.000000
total inactive,0a28a221dc5786ad8b4a754cda5fadc3,oferting,2017-09-07 00:00:00.000000
preactivated,b09448c0dc98547718f4288dc7ff30c3,oferting,2017-09-07 00:00:00.000000
halfslept,93ebf858b181cb151a799105aed70bde,oferting,2017-09-07 00:00:00.000000
new,15a4c6c9474a572cbc26ce8d421120e2,oferting,2017-09-07 00:00:00.000000
frequent openers,4523c1b794b0e59cde5842695d3ae823,oferting,2017-09-07 00:00:00.000000
new,5541a034bb9ced817d01ada087df999d,oferting,2017-09-07 00:00:00.000000
frequent openers,ccd6cc6a09b14016d89583cdf4b6ddf2,oferting,2017-09-07 00:00:00.000000
clickers,a260cbb5278fadc3cfab584b99f32996,oferting,2017-09-07 00:00:00.000000
new,a318f2235e683f25a8b87b758f1030c5,oferting,2017-09-07 00:00:00.000000
halfslept,ce0ba32e2fcaf73b2f31d8c32f365b0b,oferting,2017-09-07 00:00:00.000000
preactivated,0281d31b9b2e73c46ba9489ff08b00ba,oferting,2017-09-07 00:00:00.000000
clickers,5dd30102e9247db0079348a70214fe0a,oferting,2017-09-07 00:00:00.000000
new,387022ee50f0b8c07d33b0c8dbae68a9,oferting,2017-09-07 00:00:00.000000
